,3DCNN_prof,ProQ3D,GraphQA,angleQA,ProQ2,DAVIS-EMAconsensus,BAKER-ROSETTASERVER,BAKER-experimental,P3De,ModFOLD8,tFold-IDT,VoroCNN-GDT,VoroCNN-GEMME,DeepPotential,Ornate,SBROD,GR#,GDT_TS,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MolPrb_clash,MolPrb_rotout,MolPrb_ramout,MolPrb_ramfv,target
T1024TS222_3,0.70952,0.70954,0.669,0.605,0.640,0.68690,0.7463,0.7182,0.6480061,0.57733566,0.688,0.458,0.489,,0.532,0.425213,222s,61.19,100.0,80.0,,0.69,37.73,24.82,33.65,3.3080000000000003,3.677,391.0,3.0,67.52,86.7,86.7,62.883,2.21,11.31,42.4,385.0,3.2,1.84,0.66,94.76,0.69,0.74,0.97,0.12,0.94,84.4,6.92,87.81,84.79,0.86,4663.7,2.51,,0.44,19.43,1.17,0.49,98.28,T1024
T1024TS238_1,0.69150,0.702718,0.732,0.565,0.723,0.74240,0.7744,0.7366,0.6919943,0.5997945,0.719,,,,0.539,0.371237,238s,58.95,100.0,217.0,0.52,0.52,35.87,20.24,27.74,3.832,4.23,391.0,1.0,51.92,77.75,79.28,58.52,2.14,9.76,40.9,373.0,3.5,2.9,0.66,93.73,0.67,0.75,0.97,0.13,0.93,87.9,7.13,87.97,86.02,0.82,4064.0,1.59,,0.43,37.9,2.93,2.71,91.87,T1024
T1024TS070_3,0.50985,0.642543,0.629,0.420,0.629,0.55598,0.5977,0.5845,0.5879854,0.5148906,0.681,0.466,0.499,,0.523,0.230213,070s,46.8,100.0,397.0,,-0.42,24.43,13.07,18.03,5.223,5.698,391.0,0.0,34.27,63.68,66.5,38.985,2.65,7.86,26.6,364.0,4.7,1.22,0.55,76.6,0.62,0.63,0.92,0.3,0.89,81.0,6.81,77.49,74.04,0.73,2885.6,5.24,66.08,0.32,2.62,0.0,0.25,97.04,T1024
T1024TS367_1,0.70952,0.70954,0.669,0.605,0.640,0.68690,0.7535,0.7815,0.6480061,0.57733566,0.688,0.458,0.489,,0.532,0.425213,367s,61.19,100.0,80.0,0.69,0.69,37.73,24.82,33.65,3.3080000000000003,3.677,391.0,3.0,67.52,86.7,86.7,62.883,2.21,11.31,42.4,385.0,3.2,1.84,0.66,94.76,0.69,0.74,0.97,0.12,0.94,84.4,6.92,87.81,84.79,0.86,4663.7,2.51,,0.44,19.43,1.17,0.49,98.28,T1024
T1024TS252_2,0.58236,0.536366,0.617,0.418,0.556,0.64146,0.6466,0.6085,0.5186592,0.5550501,0.616,0.402,0.421,,0.49,0.256195,252s,47.25,100.0,383.0,,-0.39,25.7,12.95,17.75,5.421,5.9270000000000005,391.0,0.0,41.43,64.71,69.05,46.56,2.45,7.21,28.3,356.0,3.9,3.06,0.56,75.45,0.59,0.65,0.93,0.25,0.9,91.0,5.99,77.7,76.81,0.72,3187.3,13.26,80.92,0.31,123.57,2.05,0.49,96.06,T1024
T1024TS351_5,0.73842,0.779273,0.710,0.517,0.749,0.65949,0.7855,0.7762,0.7192532,0.58526695,0.773,0.542,0.607,,0.572,0.309960,351s,55.56,100.0,316.0,,0.25,34.27,23.45,30.34,4.303,4.56,391.0,2.0,52.94,73.91,74.68,52.459,2.17,9.03,42.1,388.0,4.1,0.97,0.7,93.35,0.7,0.78,0.96,0.14,0.92,91.4,7.13,87.64,86.25,0.8,4622.6,2.13,39.73,0.46,2.0,0.0,0.0,98.52,T1024
T1024TS326_5,0.72939,0.745444,0.711,0.601,0.698,0.74186,0.7852,0.7539,0.6987938,0.60993177,0.709,0.461,0.508,,0.547,0.421745,326s,61.0,100.0,96.0,,0.68,38.3,22.23,31.43,3.725,4.045,391.0,3.0,55.24,78.77,79.54,59.625,2.18,10.4,42.2,384.0,3.7,2.33,0.67,93.61,0.69,0.75,0.97,0.12,0.93,84.8,6.81,87.93,86.5,0.83,4644.9,1.5,,0.43,28.71,3.23,0.99,98.03,T1024
T1024TS377_4,0.71945,0.706967,0.715,0.593,0.613,0.76122,0.7860,0.7408,0.6795313,0.6012316,0.719,0.474,0.531,,0.554,0.436776,377s,59.14,100.0,209.0,,0.53,37.09,22.11,30.11,3.819,4.126,391.0,14.0,57.29,78.26,79.54,58.301,2.24,9.84,42.4,391.0,3.8,2.85,0.66,92.71,0.68,0.77,0.97,0.14,0.93,91.1,7.44,88.93,86.93,0.83,4669.7,1.85,85.27,0.43,45.8,3.81,1.48,96.06,T1024
T1024TS278_2,0.64795,0.710873,0.726,0.500,0.722,0.65021,0.6938,0.6575,0.6643904,0.55018353,0.738,0.519,0.564,,0.548,0.335233,278s,55.88,100.0,311.0,,0.28,34.72,21.27,29.2,5.058,5.323,391.0,0.0,54.99,74.42,75.45,55.096,2.29,8.9,36.2,365.0,3.8,0.81,0.63,81.84,0.64,0.7,0.93,0.26,0.9,79.3,6.58,83.95,80.68,0.79,3977.8,3.74,77.9,0.36,1.08,0.0,0.49,98.28,T1024
T1024TS252_3,0.68640,0.70225,0.708,0.550,0.634,0.73029,0.7365,0.6821,0.6664654,0.58677953,0.692,0.480,0.528,,0.526,0.339756,252s,60.93,100.0,112.0,,0.67,37.91,20.42,32.01,3.519,3.95,391.0,1.0,61.64,81.84,82.1,60.892,2.22,10.58,42.1,390.0,3.5,2.76,0.65,89.77,0.66,0.74,0.97,0.13,0.93,87.0,6.92,88.02,84.1,0.84,4637.0,3.01,78.07,0.4,86.29,1.76,0.74,97.04,T1024
T1024TS317_5,0.61843,0.642943,0.725,0.484,0.624,0.69748,0.7223,0.6690,0.6320613,0.538884,0.656,0.448,0.492,,0.51,0.262204,317s,57.55,100.0,266.0,,0.41,36.06,17.45,30.03,4.296,4.777,391.0,3.0,57.03,76.47,77.24,57.194,2.26,9.8,38.0,379.0,4.0,3.02,0.61,85.29,0.64,0.69,0.95,0.19,0.92,92.1,7.34,84.87,81.64,0.8,4203.3,3.95,76.03,0.35,17.72,13.78,1.97,93.84,T1024
T1024TS226_3,0.67099,0.666447,0.703,0.473,0.648,0.73982,0.7351,0.7101,0.6221818,0.569938,0.703,0.481,0.549,,0.538,0.261944,226s,58.63,100.0,226.0,,0.49,36.25,20.26,26.83,4.0680000000000005,4.47,391.0,0.0,49.36,73.15,77.49,57.062,2.33,10.49,39.4,382.0,3.8,1.21,0.64,89.26,0.66,0.73,0.96,0.15,0.92,90.4,6.81,86.34,84.21,0.81,4044.7,2.75,,0.4,0.92,1.47,0.99,95.57,T1024
T1024TS187_5,0.52113,0.589831,0.615,0.409,0.575,0.58337,0.6387,0.6023,0.5733712,0.524039,0.634,0.444,0.459,,0.492,0.242560,187s,58.7,100.0,224.0,,0.5,35.99,18.0,31.39,3.965,4.585,391.0,0.0,62.4,82.61,82.86,56.934,2.24,10.58,36.0,376.0,3.2,3.4,0.6,81.07,0.6,0.69,0.95,0.25,0.92,88.0,7.34,85.93,79.11,0.84,3973.5,6.52,74.35,0.32,134.36,3.23,0.99,93.6,T1024
T1024TS317_2,0.63336,0.668015,0.727,0.516,0.645,0.69313,0.7325,0.6876,0.6613575,0.5473365,0.660,0.450,0.497,,0.515,0.295737,317s,55.18,100.0,328.0,,0.22,33.95,16.89,27.32,4.393,4.819,391.0,4.0,52.94,74.94,75.7,52.503,2.3,8.77,37.6,380.0,4.1,3.03,0.61,87.98,0.65,0.7,0.95,0.19,0.91,91.2,7.44,84.91,81.57,0.8,4158.8,2.7,75.28,0.35,15.56,16.42,3.45,93.84,T1024
T1024TS187_3,0.58288,0.503047,0.642,0.431,0.556,0.64194,0.6565,0.6298,0.4904185,0.5570782,0.621,0.423,0.458,,0.504,0.247189,187s,47.06,100.0,394.0,,-0.4,25.25,13.62,17.14,5.5,6.0360000000000005,391.0,1.0,39.13,61.38,65.98,45.892,2.4,6.87,27.6,349.0,4.0,2.81,0.57,77.88,0.61,0.67,0.92,0.25,0.9,92.6,6.11,77.2,77.3,0.71,2559.3,14.44,78.42,0.32,93.73,0.0,0.99,94.58,T1024
T1024TS075_5,0.49688,0.493748,0.601,0.345,0.507,0.61733,0.6290,0.5946,0.4787785,0.528607,0.589,0.398,0.421,,0.466,,075s,48.21,100.0,366.0,,-0.32,25.38,11.05,16.08,4.996,5.476,391.0,1.0,37.6,62.92,67.52,41.919,2.48,7.09,27.5,359.0,4.0,3.4,0.55,75.83,0.57,0.65,0.93,0.31,0.9,88.4,6.81,78.96,75.49,0.74,2530.9,6.57,82.11,0.28,149.15,2.35,2.46,92.12,T1024
T1024TS437_1,0.53229,0.492238,0.602,0.345,0.474,0.59097,0.6052,0.5843,0.4644162,0.5316743,0.582,0.429,0.445,,0.479,0.206575,437s,45.01,100.0,417.0,-0.56,-0.56,23.4,12.87,17.39,5.907,6.4060000000000015,391.0,1.0,35.55,58.57,62.4,39.692,2.5,5.88,20.2,283.0,4.0,3.05,0.53,69.82,0.57,0.62,0.9,0.3,0.89,88.5,5.99,73.83,72.22,0.68,1912.9,18.19,55.71,0.27,117.72,1.17,2.96,92.61,T1024
T1024TS351_1,0.68124,0.679929,0.738,0.561,0.677,0.74283,0.7629,0.7034,0.6611916,0.5955189,0.711,0.479,0.542,,0.535,0.377717,351s,59.14,100.0,209.0,0.53,0.53,35.93,19.92,27.22,3.843,4.2410000000000005,391.0,1.0,52.17,77.49,79.03,58.23,2.17,9.97,40.4,370.0,3.5,2.92,0.66,92.58,0.67,0.75,0.97,0.14,0.93,78.4,7.02,87.84,85.69,0.82,4047.3,1.64,,0.41,59.17,1.76,3.2,91.87,T1024
T1024TS209_2,0.75556,0.800527,0.781,0.562,0.778,0.74545,0.8384,0.7918,0.7405714,0.5913562,0.783,0.539,0.615,,0.584,0.377119,209s,61.32,100.0,71.0,,0.7,39.45,24.82,32.22,3.817,4.112,391.0,1.0,56.01,77.24,78.52,60.358,2.02,10.28,43.6,391.0,3.8,1.17,0.71,94.25,0.7,0.78,0.96,0.13,0.93,85.0,7.24,88.18,89.27,0.82,4787.4,1.2,76.66,0.46,1.69,0.29,0.99,96.31,T1024
T1024TS435_5,0.57778,0.523753,0.694,0.511,0.466,0.71920,0.7079,0.6489,0.5407819,0.51878405,0.597,0.457,0.521,,0.503,0.363726,435s,58.57,100.0,231.0,,0.49,35.74,21.92,30.54,3.867,4.2360000000000015,391.0,6.0,58.82,75.96,79.8,58.773,2.21,10.53,40.1,390.0,3.6,3.52,0.48,90.67,0.65,0.76,0.97,0.17,0.93,81.4,7.54,86.76,84.53,0.82,4420.2,2.73,78.24,0.37,239.2,0.0,9.11,83.5,T1024
T1024TS319_1,0.69171,0.67473,0.702,0.553,0.652,0.72581,0.7415,0.6713,0.6484744,0.58391434,0.684,0.484,0.509,,0.524,0.349413,319s,60.61,100.0,140.0,0.64,0.65,37.34,21.86,30.72,3.4410000000000003,3.883,391.0,0.0,60.61,82.61,83.38,60.78,2.24,10.97,42.2,390.0,3.4,2.9,0.65,90.28,0.65,0.74,0.97,0.13,0.93,85.6,7.64,88.0,83.79,0.84,4646.2,1.88,85.05,0.4,86.9,1.76,1.97,95.57,T1024
T1024TS031_3,0.71370,0.717239,0.705,0.508,0.712,0.76643,0.8003,0.7646,0.6899073,0.5833441,0.721,0.503,0.588,,0.548,0.286645,031s,61.0,100.0,96.0,,0.68,38.68,24.76,33.24,3.588,3.971,391.0,0.0,62.4,83.38,84.4,61.14100000000001,2.19,10.32,43.3,390.0,3.6,1.25,0.67,92.33,0.69,0.75,0.97,0.12,0.93,92.3,6.81,89.01,87.2,0.84,4764.0,1.57,,0.44,1.08,2.05,0.74,96.8,T1024
T1024TS324_4,0.64792,0.654932,0.677,0.497,0.666,0.65021,0.7160,0.7015,0.6215451,0.5405801,0.681,0.479,0.538,,0.531,0.288802,324s,64.9,100.0,6.0,,0.98,42.14,25.58,36.77,3.443,3.846,391.0,0.0,69.57,87.98,88.24,65.936,2.06,11.83,42.6,387.0,2.9,1.24,0.64,88.75,0.66,0.72,0.97,0.17,0.93,92.1,7.64,88.25,83.62,0.86,4690.3,2.64,85.55,0.39,1.69,1.17,1.97,96.06,T1024
T1024TS226_2,0.66720,0.673865,0.679,0.469,0.651,0.74410,0.7305,0.6729,0.6530627,0.5782789,0.703,0.469,0.533,,0.532,0.263202,226s,60.1,100.0,172.0,,0.61,37.47,25.18,31.63,3.771,4.112,391.0,1.0,61.13,84.14,85.17,61.27,2.28,10.75,41.6,386.0,3.6,1.38,0.66,90.67,0.67,0.74,0.97,0.14,0.92,88.4,6.7,87.8,84.51,0.83,4583.2,3.3,,0.41,1.23,1.47,2.22,93.84,T1024
T1024TS319_2,0.67916,0.676097,0.707,0.550,0.614,0.72413,0.7448,0.6585,0.6624262,0.579527,0.674,0.486,0.521,,0.522,0.341192,319s,60.81,100.0,125.0,,0.66,37.72,22.04,31.81,3.437,3.925,391.0,0.0,61.38,81.84,82.61,61.11,2.2,10.84,42.1,390.0,3.4,2.86,0.64,90.28,0.65,0.73,0.97,0.13,0.93,90.9,7.64,87.63,83.35,0.84,4631.8,1.95,84.69,0.38,84.9,1.47,2.22,95.07,T1024
T1024TS351_3,0.75237,0.788725,0.696,0.489,0.751,,0.8036,0.7724,0.7451653,0.5795449,0.772,0.547,0.613,,0.572,0.265175,351s,56.71,100.0,285.0,,0.34,34.2,22.22,28.57,4.276,4.596,391.0,1.0,53.45,74.42,75.19,53.742,2.24,9.28,38.7,369.0,3.8,0.97,0.68,92.07,0.69,0.76,0.95,0.15,0.92,82.8,7.13,85.46,84.87,0.79,4275.7,2.56,40.71,0.46,2.0,0.29,0.25,98.03,T1024
T1024TS319_3,0.67280,0.666385,0.687,0.540,0.636,0.72890,0.7422,0.6822,0.6372899,0.585415,0.678,0.470,0.524,,0.521,0.329571,319s,61.12,100.0,86.0,,0.68,37.92,22.25,32.54,3.463,3.9,391.0,1.0,61.13,82.35,83.63,62.429,2.22,10.84,42.3,389.0,3.4,2.84,0.65,91.05,0.65,0.75,0.97,0.13,0.93,91.5,7.64,87.92,83.99,0.84,4657.0,2.76,83.92,0.38,83.2,1.47,1.48,95.32,T1024
T1024TS367_4,0.70878,0.723842,0.660,0.585,0.659,0.68847,0.7537,0.7465,0.660152,0.5854999,0.682,0.456,0.496,,0.532,0.408057,367s,61.0,100.0,96.0,,0.68,37.66,25.15,33.12,3.3560000000000003,3.731,391.0,7.0,58.57,84.65,84.65,56.75899999999999,2.31,11.48,42.4,385.0,3.2,1.91,0.66,94.76,0.68,0.74,0.97,0.12,0.93,85.7,7.02,87.9,84.93,0.85,4659.3,2.87,,0.43,20.84,0.59,1.23,97.54,T1024
T1024TS183_5,0.60839,0.586266,0.676,0.444,0.560,0.68361,0.7280,0.6753,0.5980879,0.5687448,0.517,0.461,0.509,,0.527,0.264558,183s,58.31,100.0,237.0,,0.47,36.45,20.42,28.98,4.067,4.362,391.0,21.0,54.22,74.42,75.45,55.813,2.11,9.59,37.2,381.0,3.8,3.46,0.65,89.9,0.64,0.75,0.96,0.19,0.92,74.6,7.24,85.34,82.19,0.81,4121.5,4.79,38.79,0.4,71.32,4.11,7.64,83.99,T1024
T1024TS226_1,0.65527,0.657639,0.676,0.482,0.665,0.73904,0.7382,0.7151,0.612587,0.5747859,0.697,0.480,0.544,,0.537,0.268124,226s,61.38,100.0,70.0,0.7,0.7,38.81,24.46,32.95,3.63,4.07,391.0,1.0,63.17,83.63,84.65,62.594,2.22,11.01,42.4,386.0,3.5,1.27,0.65,89.77,0.66,0.73,0.97,0.14,0.93,81.8,6.92,88.26,85.08,0.84,4668.5,2.98,,0.4,0.92,1.17,1.23,93.1,T1024
T1024TS252_1,0.62454,0.496799,0.635,0.433,0.570,0.64671,0.6585,0.6056,0.481251,0.55588454,0.610,0.419,0.428,,0.49,0.247792,252s,47.25,100.0,383.0,-0.39,-0.39,25.0,12.54,15.83,5.16,5.526,391.0,0.0,38.62,66.24,70.59,44.382,2.53,7.09,28.8,363.0,4.0,3.37,0.57,79.16,0.6,0.67,0.93,0.24,0.9,86.8,6.58,78.56,77.41,0.72,3234.8,8.3,81.65,0.31,142.53,4.4,0.49,96.06,T1024
T1024TS364_4,0.64712,0.606841,0.718,0.504,0.649,0.67564,0.7383,0.6810,0.5866559,0.5583504,0.702,0.451,0.529,,0.528,0.296428,364s,61.19,100.0,80.0,,0.69,38.37,24.33,32.13,3.32,3.71,391.0,3.0,64.71,85.17,85.42,61.023,2.26,11.22,41.0,386.0,3.2,3.18,0.64,89.9,0.66,0.74,0.97,0.15,0.94,88.3,7.64,88.07,83.88,0.86,4509.1,2.2,,0.38,74.11,2.64,4.43,90.89,T1024
T1024TS140_2,0.72319,0.600877,0.727,0.551,0.625,0.74052,0.7992,0.7686,0.6302088,0.59951437,0.691,0.486,0.532,,0.542,0.347046,140s,61.12,100.0,86.0,,0.68,39.2,24.05,31.3,3.584,3.899,391.0,14.0,60.36,80.82,81.59,60.201,2.16,10.28,42.8,390.0,3.6,2.95,0.68,93.61,0.68,0.77,0.97,0.14,0.93,84.6,7.54,89.41,87.0,0.84,4703.3,1.9,85.9,0.42,47.33,3.23,1.72,93.84,T1024
T1024TS031_5,0.68862,0.679267,0.685,0.447,0.683,0.69686,0.7079,0.6461,0.6820314,0.5700138,0.737,0.497,0.537,,0.539,0.255455,031s,53.33,100.0,340.0,,0.08,31.33,17.7,25.51,4.487,4.853,391.0,2.0,46.55,69.82,74.42,52.631,2.35,8.81,33.0,361.0,3.7,2.11,0.63,88.75,0.65,0.72,0.95,0.2,0.92,76.9,7.02,84.57,83.5,0.78,3650.8,2.3,,0.37,5.39,2.93,1.72,92.61,T1024
T1024TS337_3,0.52173,0.547162,0.603,0.389,0.536,0.61256,0.6094,0.5670,0.5198189,0.5571724,0.612,0.394,0.411,,0.474,0.219479,337s,47.38,100.0,377.0,,-0.38,25.13,13.82,19.71,5.1110000000000015,5.516,391.0,1.0,38.36,63.43,67.77,45.828,2.46,6.61,25.5,358.0,4.2,3.31,0.55,76.22,0.58,0.65,0.93,0.28,0.89,88.0,7.13,76.95,75.53,0.72,2888.2,6.37,52.27,0.29,129.58,2.35,1.48,92.86,T1024
T1024TS460_5,0.51357,0.549409,0.607,0.363,0.576,0.58701,0.5940,0.5975,0.5507862,0.5153365,0.619,0.399,0.465,,0.494,0.188389,460s,52.56,100.0,348.0,,0.02,30.63,14.59,22.71,4.9460000000000015,5.64,391.0,0.0,42.71,68.54,72.89,52.12,2.25,9.63,32.4,365.0,3.7,3.38,0.52,69.18,0.57,0.61,0.93,0.36,0.89,91.9,6.47,78.65,73.13,0.75,3617.9,6.01,80.64,0.26,91.09,4.4,1.72,92.61,T1024
T1024TS222_4,0.65800,0.674915,0.705,0.544,0.590,0.73143,0.7242,0.6814,0.6607138,0.5908041,0.655,0.449,0.510,,0.521,0.359096,222s,58.82,100.0,221.0,,0.51,35.68,21.52,31.31,3.615,4.073,391.0,28.0,57.54,81.84,83.12,59.839,2.13,10.15,41.2,391.0,3.6,3.26,0.6,89.9,0.64,0.73,0.97,0.15,0.93,77.9,7.44,87.61,83.28,0.84,4524.8,2.71,,0.39,63.78,3.81,4.43,90.15,T1024
T1024TS140_3,0.72025,0.705187,0.717,0.631,0.685,0.76513,0.8083,0.7827,0.6885227,0.6108267,0.724,0.484,0.530,,0.553,0.487808,140s,60.42,100.0,159.0,,0.63,37.92,22.06,30.34,3.692,3.995,391.0,10.0,54.73,77.49,78.77,58.576,2.15,9.76,43.5,391.0,3.7,2.51,0.67,94.89,0.69,0.77,0.97,0.13,0.93,91.7,7.54,89.21,87.6,0.83,4785.7,1.58,85.06,0.44,34.53,2.64,1.23,97.04,T1024
T1024TS140_1,0.71966,0.723221,0.725,0.634,0.715,0.76498,0.8051,0.7790,0.7099502,0.6112366,0.721,0.481,0.532,,0.554,0.495309,140s,60.61,100.0,140.0,0.64,0.65,38.17,22.75,30.39,3.655,3.962,391.0,7.0,54.99,78.26,79.54,58.79600000000001,2.16,9.93,43.7,391.0,3.7,2.29,0.67,95.27,0.69,0.77,0.97,0.12,0.93,85.6,7.54,89.28,87.68,0.83,4802.7,1.56,85.03,0.44,37.77,1.76,0.74,97.78,T1024
T1024TS031_2,0.69140,0.689255,0.701,0.506,0.695,0.74229,0.7653,0.7165,0.6275983,0.58503795,0.720,0.500,0.550,,0.548,0.299168,031s,62.47,100.0,10.0,,0.79,39.58,25.62,34.45,3.393,3.776,391.0,0.0,65.22,84.91,85.93,62.536,2.14,11.01,43.6,390.0,3.4,1.25,0.66,91.3,0.68,0.75,0.98,0.13,0.93,92.6,7.54,89.12,85.97,0.85,4792.3,2.48,,0.41,1.39,1.17,1.72,95.32,T1024
T1024TS013_2,0.66893,0.702301,0.655,0.478,0.693,0.61083,0.7897,0.7946,0.6551964,0.54930675,0.717,0.472,0.557,,0.538,0.294214,013s,56.78,100.0,284.0,,0.35,34.91,17.79,22.83,4.102,4.6080000000000005,391.0,1.0,45.01,73.66,74.68,53.816,2.38,9.28,36.3,383.0,4.0,0.5,0.62,85.17,0.66,0.69,0.95,0.18,0.91,85.4,7.34,84.57,81.05,0.79,3896.2,2.41,72.85,0.38,0.0,0.29,0.25,98.03,T1024
